"BC","OriginalName","UpdatedName","species","kingdom_unite","phylum_unite","class_unite","order_unite","family_unite","genus_unite","species_unite","SH_unite"
72,"Pichia_kudriavzevii","Pichia_kudriavzevii","Pichia kudriavzevii","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Pichiaceae","Pichia","Pichia kudriavzevii","SH0928682.10FU"
73,"Pichia_membranifacien","Pichia_membranifaciens","Pichia membranifaciens","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Pichiaceae","Pichia","Pichia membranifaciens","SH1042359.10FU"
74,"Rhodotorula_mucilaginosa","Rhodotorula_mucilaginosa","Rhodotorula mucilaginosa","Fungi","Basidiomycota","Microbotryomycetes","Sporidiobolales","Sporidiobolaceae","Rhodotorula","Rhodotorula mucilaginosa","SH0877593.10FU"
75,"Scedosporium_auranticum","Scedosporium_aurantiacum","Scedosporium aurantiacum","Fungi","Ascomycota","Sordariomycetes","Microascales","Microascaceae","Scedosporium","Scedosporium aurantiacum","SH0970677.10FU"
76,"Scedosporium_boydii","Scedosporium_boydii","Scedosporium boydii","Fungi","Ascomycota","Sordariomycetes","Microascales","Microascaceae","Scedosporium","Scedosporium boydii","SH0970643.10FU"
77,"Trichomonascus_ciferrii","Trichomonascus_ciferrii","Trichomonascus ciferrii","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Trichomonascaceae","Trichomonascus","Trichomonascus ciferrii","SH0963591.10FU"
78,"Trichosporon_asahil","Trichosporon_asahii","Trichosporon asahii","Fungi","Basidiomycota","Tremellomycetes","Trichosporonales","Trichosporonaceae","Trichosporon","Trichosporon asahii","SH0856167.10FU"
79,"Wickerhamomyces_anomalus","Wickerhamomyces_anomalus","Wickerhamomyces anomalus","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Phaffomycetaceae","Wickerhamomyces","Wickerhamomyces anomalus","SH0914779.10FU"
80,"Yamadazyma_mexicana","Yamadazyma_mexicana","Yamadazyma mexicana","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Debaryomycetaceae","Yamadazyma","Yamadazyma mexicana","SH0877975.10FU"
81,"Yamadazyma_scolyti","Yamadazyma_scolyti","Yamadazyma scolyti","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Debaryomycetaceae","Yamadazyma","Yamadazyma scolyti","SH0887028.10FU"
82,"Yarrowia_lipolytica","Yarrowia_lipolytica","Yarrowia lipolytica","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetales_fam_Incertae_sedis","Yarrowia","Yarrowia lipolytica","SH0889310.10FU"
83,"Diaporthe_sp_CCL067","Diaporthe_sp_CCL067","Diaporthe sp","Fungi","Ascomycota","Sordariomycetes","Diaporthales","Diaporthaceae","Diaporthe",NA,NA
84,"Quambalaria_cyanescens_CCL055","Quambalaria_cyanescens_CCL055","Quambalaria cyanescens","Fungi","Basidiomycota","Exobasidiomycetes","Microstromatales","Quambalariaceae","Quambalaria","Quambalaria cyanescens","SH0970589.10FU"
85,"Entoleuca_sp_CCL052","Entoleuca_sp_CCL052","Entoleuca sp","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae","Entoleuca",NA,NA
86,"Cortinarius_globuliformis_CM4","Cortinarius_globuliformis_CM4","Cortinarius globuliformis","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius","Cortinarius globuliformis","SH1018009.10FU"
87,"Asteroma_sp_CCL068","Asteroma_sp_CCL068","Asteroma sp","Fungi","Ascomycota","Sordariomycetes","Diaporthales","Gnomoniaceae","Asteroma",NA,NA
88,"Asteroma_sp_CCL060","Asteroma_sp_CCL060","Asteroma sp","Fungi","Ascomycota","Sordariomycetes","Diaporthales","Gnomoniaceae","Asteroma",NA,NA
89,"Tuber_brumale","Tuber_brumale","Tuber brumale","Fungi","Ascomycota","Pezizomycetes","Pezizales","Tuberaceae","Tuber","Tuber brumale","SH0931028.10FU"
